File,App Name,Package,Version,Size (MB),Maturity Score,Regulatory Tier,Passed,Failed,Warnings,Critical Violations,BB-MFS-01,BB-MFS-02,BB-MFS-03,BB-MFS-04,BB-MFS-05,BB-MFS-06,BB-MFS-07,BB-MFS-08,BB-MFS-09,BB-MFS-10,BB-MFS-11,BB-MFS-12,BB-MFS-13,BB-MFS-14,Anomaly Risk,Is Outlier
FirstCash_2.0.45.apks,FirstCash,com.fsiblbd.customer,2.0.45,31.35,53.0,Tier 3,6,5,3,0,PASSED,WARNING,FAILED,FAILED,PASSED,PASSED,PASSED,FAILED,WARNING,PASSED,WARNING,PASSED,FAILED,FAILED,0.518,False
Islamic Wallet_1.0.15.apks,Islamic Wallet,com.iw.app,1.0.15,18.77,69.0,Tier 3,8,2,4,1,FAILED,WARNING,PASSED,WARNING,PASSED,PASSED,PASSED,WARNING,PASSED,PASSED,WARNING,PASSED,FAILED,PASSED,0.458,False
LENDEN_2.3.4.apks,LENDEN,com.reddot.lenden.customerapp,2.3.4,66.54,61.0,Tier 3,8,3,3,1,FAILED,WARNING,FAILED,WARNING,PASSED,PASSED,PASSED,FAILED,PASSED,PASSED,WARNING,PASSED,PASSED,PASSED,0.562,True
MYCash_11.4.apks,MYCash,com.mycash,11.4,12.96,61.0,Tier 3,6,4,4,0,PASSED,WARNING,PASSED,WARNING,WARNING,FAILED,PASSED,FAILED,PASSED,PASSED,WARNING,PASSED,FAILED,FAILED,0.553,True
MeghnaPay_1.41.apks,MeghnaPay,com.modefin.meghnaui,1.41,36.59,66.0,Tier 3,8,2,4,1,FAILED,WARNING,PASSED,WARNING,PASSED,PASSED,PASSED,FAILED,WARNING,PASSED,WARNING,PASSED,PASSED,PASSED,0.458,False
Nagad_1.1.118.03.apk,Nagad,com.konasl.nagad,1.1.118.03,55.34,46.0,Tier 3,5,4,5,1,FAILED,WARNING,PASSED,FAILED,WARNING,PASSED,PASSED,WARNING,WARNING,PASSED,WARNING,PASSED,FAILED,FAILED,0.469,False
Rocket_3.1.5.apks,Rocket,com.dbbl.mbs.apps.main,3.1.5,77.35,66.0,Tier 3,8,3,3,0,PASSED,WARNING,PASSED,FAILED,PASSED,PASSED,PASSED,WARNING,WARNING,PASSED,FAILED,PASSED,FAILED,PASSED,0.527,False
TeleCash_1.1.247.apks,TeleCash,com.reddot.telecash.mobile,1.1.247,56.46,73.0,Tier 2,9,3,2,0,PASSED,WARNING,PASSED,FAILED,PASSED,PASSED,PASSED,FAILED,PASSED,PASSED,WARNING,PASSED,FAILED,PASSED,0.436,False
Trust And Pay_1.6.015.apks,Trust And Pay,com.trustandpay.customer,1.6.015,28.99,38.0,Tier 3,4,6,4,1,FAILED,WARNING,PASSED,FAILED,WARNING,PASSED,PASSED,FAILED,WARNING,FAILED,WARNING,PASSED,FAILED,FAILED,0.495,False
bKash_7.3.0.apks,bKash,com.bKash.customerapp,7.3.0,77.76,73.0,Tier 2,9,3,2,0,PASSED,WARNING,PASSED,FAILED,PASSED,PASSED,PASSED,FAILED,PASSED,PASSED,WARNING,PASSED,FAILED,PASSED,0.491,False
mCash_2.1.74.apks,mCash,com.ibbl.mcashcustomer,2.1.74,116.47,73.0,Tier 2,9,3,2,0,PASSED,WARNING,PASSED,FAILED,PASSED,PASSED,PASSED,FAILED,PASSED,PASSED,WARNING,PASSED,FAILED,PASSED,0.454,False
upay_2.14.6.apks,upay,bd.com.upay.customer,2.14.6,80.38,68.0,Tier 3,8,3,3,0,PASSED,WARNING,PASSED,FAILED,PASSED,PASSED,PASSED,FAILED,WARNING,PASSED,WARNING,PASSED,FAILED,PASSED,0.549,False
